Sno,variables_Batch,variables,Type,Module
1,COUNT_3_DPD_60_90_D,COUNT_3_DPD_60_90_D,Numerical,PERFORMANCE
2,RATIO_COUNT_CREDITS_FULLY_RECOVERED_LAST30D_COUNT_CREDITS_FULLY_RECOVERED_90TO120D,RATIO_COUNT_CREDITS_FULLY_RECOVERED_LAST30D_COUNT_CREDITS_FULLY_RECOVERED_90TO120D,Numerical,Transaction
3,COUNT_0_DPD_45_60_D,COUNT_0_DPD_45_60_D,Numerical,PERFORMANCE
4,MAX_DPD_60_90_D,MAX_DPD_60_90_D,Numerical,PERFORMANCE
5,RATIO_COUNT_CREDITS_FULLY_RECOVERED_LAST30D_COUNT_CREDITS_FULLY_RECOVERED_300TO330D,RATIO_COUNT_CREDITS_FULLY_RECOVERED_LAST30D_COUNT_CREDITS_FULLY_RECOVERED_300TO330D,Numerical,Transaction
6,DISTINCT_BANKS_EMI_OVERDUE_LAST_30D,DISTINCT_BANKS_EMI_OVERDUE_LAST_30D,Numerical,SMS
7,COUNT_0_DPD_60_90_D,COUNT_0_DPD_60_90_D,Numerical,PERFORMANCE
8,MAX_DPD_90_120_D,MAX_DPD_90_120_D,Numerical,PERFORMANCE
9,COUNT_0_DPD_30_45_D,COUNT_0_DPD_30_45_D,Numerical,PERFORMANCE
10,NUM_UNIQUE_LOAN_OVERDUE_30D_SMS_BANKING,NUM_UNIQUE_LOAN_OVERDUE_30D,Numerical,SMS
11,NUM_NACH_BOUNCES_120D_SMS_BANKING,NUM_NACH_BOUNCES_120D,Numerical,SMS
12,MAX_DPD_150_180_D,MAX_DPD_150_180_D,Numerical,PERFORMANCE
13,NUM_NACH_BOUNCES_90D_SMS_BANKING,NUM_NACH_BOUNCES_90D,Numerical,SMS
14,NUM_LOAN_REJECTION_SMS_LAST_30D,NUM_LOAN_REJECTION_LAST_30D,Numerical,SMS
15,RATIO_COUNT_CREDITS_FULLY_RECOVERED_30TO60D_COUNT_CREDITS_FULLY_RECOVERED_330TO360D,RATIO_COUNT_CREDITS_FULLY_RECOVERED_30TO60D_COUNT_CREDITS_FULLY_RECOVERED_330TO360D,Numerical,Transaction
16,MAX_DAYS_PAST_DUE_ACTIVE_UNSECURED_450_TO_480_DAYS,MAX_DAYS_PAST_DUE_ACTIVE_UNSECURED_450_TO_480_DAYS,Numerical,BUREAU
17,RATIO_COUNT_CREDITS_FULLY_RECOVERED_LAST30D_COUNT_CREDITS_FULLY_RECOVERED_60TO90D,RATIO_COUNT_CREDITS_FULLY_RECOVERED_LAST30D_COUNT_CREDITS_FULLY_RECOVERED_60TO90D,Numerical,Transaction
18,MAX_REPAYMENT_TENURE_SECURED_P50,MAX_REPAYMENT_TENURE_SECURED_P50,Numerical,LOCATION
19,AVG_AVAILABLE_BALANCE_LAST30D_SMS_BANKING,AVG_AVAILABLE_BALANCE_LAST30D,Numerical,SMS
20,TOTAL_HIGHEST_CREDIT_OR_ORIGINAL_LOAN_AMOUNT_UNSECURED_P25,TOTAL_HIGHEST_CREDIT_OR_ORIGINAL_LOAN_AMOUNT_UNSECURED_P25,Numerical,LOCATION
21,MIN_AVAILABLE_LIMIT_LAST30D_CC_SMS_BANKING,MIN_CREDIT_CARD_AVAILABLE_LIMIT_LAST30D,Numerical,SMS
22,MIN_CURRENT_BALANCE_ACTIVE_MAX,MIN_CURRENT_BALANCE_ACTIVE_MAX,Numerical,LOCATION
23,OUTSTANDING_BALANCE_ALL_MIN,OUTSTANDING_BALANCE_ALL_MIN,Numerical,LOCATION
24,DISTINCT_BANKS_EMI_OVERDUE_60TO90D,DISTINCT_BANKS_EMI_OVERDUE_60TO90D,Numerical,SMS
25,DISTINCT_BANKS_EMI_OVERDUE_30TO60D,DISTINCT_BANKS_EMI_OVERDUE_30TO60D,Numerical,SMS
